fpr,tpr,threshold
0.0,0.0,inf
0.0,0.004629629629629629,0.9999999999998874
0.0,0.009259259259259259,0.9999980340828837
0.0,0.013888888888888888,0.9999979966503869
0.0,0.02546296296296296,0.9999948725551949
0.0,0.032407407407407406,0.9999944832234606
0.0,0.034722222222222224,0.9999944006678207
0.0,0.9907407407407407,0.9999943819805459
0.0014255167498218105,0.9907407407407407,9.575975474658141e-05
0.002851033499643621,0.9907407407407407,6.553008326619185e-05
0.007127583749109052,0.9907407407407407,4.633036458464656e-05
0.009265858873841768,0.9907407407407407,3.561759016708422e-05
0.012829650748396294,0.9907407407407407,2.8037924108381783e-05
0.015680684248039915,0.9907407407407407,2.5589656807620863e-05
0.01639344262295082,0.9907407407407407,2.5479054307411183e-05
0.01781895937277263,0.9907407407407407,2.05828837787369e-05
0.019957234497505347,0.9907407407407407,1.9296021050298535e-05
0.021382751247327157,0.9907407407407407,1.8454682687176223e-05
0.022095509622238062,0.9907407407407407,1.53925938270577e-05
0.024946543121881683,0.9907407407407407,1.5160652092398344e-05
0.02565930149679259,0.9907407407407407,1.4346214833953195e-05
0.0270848182466144,0.9907407407407407,1.3864147865747414e-05
0.029223093371347115,0.9907407407407407,1.2380913900542074e-05
0.04632929436920884,0.9907407407407407,1.1299798918517425e-05
0.04989308624376337,0.9907407407407407,1.1093935954918317e-05
0.0691375623663578,0.9907407407407407,1.1057034285134867e-05
0.07056307911617961,0.9907407407407407,1.0966310442290035e-05
0.07127583749109052,0.9907407407407407,1.0929833287580986e-05
0.07270135424091233,0.9907407407407407,1.0313225791083407e-05
0.07483962936564505,0.9907407407407407,9.85300074074617e-06
0.09123307198859587,0.9907407407407407,9.675439524733342e-06
0.09265858873841767,0.9907407407407407,7.061428333257449e-06
0.09408410548823949,0.9907407407407407,6.444813672067685e-06
0.13399857448325017,0.9930555555555556,6.444813672067661e-06
0.13542409123307197,0.9930555555555556,4.904353233825935e-06
0.1361368496079829,0.9930555555555556,4.886268470702534e-06
0.14112615823235922,0.9930555555555556,4.169457438972983e-06
0.14540270848182466,0.9930555555555556,4.137405153013138e-06
0.14611546685673557,0.9930555555555556,3.481102105243521e-06
0.1511047754811119,0.9930555555555556,3.0234985508173728e-06
0.15466856735566642,0.9930555555555556,2.9789204684292006e-06
0.2316464718460442,0.9930555555555556,2.969011629132952e-06
0.2344975053456878,0.9930555555555556,2.778133778574642e-06
0.32145402708481824,0.9976851851851852,2.7781337785746323e-06
0.32287954383464007,0.9976851851851852,2.5337918880576258e-06
0.32501781895937276,0.9976851851851852,1.5115702293214881e-06
0.32786885245901637,0.9976851851851852,1.4188566332215053e-06
0.33998574483250177,1.0,1.1250708394013007e-06
0.35067712045616534,1.0,1.0335962876614772e-06
0.35210263720598717,1.0,1.0149696572597742e-06
0.5067712045616536,1.0,1.0149696572597723e-06
0.5081967213114754,1.0,8.253068849058053e-07
0.5089094796863863,1.0,1.4070359393875247e-07
0.5103349964362082,1.0,1.2742615784787236e-07
0.5138987883107626,1.0,1.1960279108407638e-08
0.5160370634354954,1.0,1.1779312118232782e-08
0.5174625801853172,1.0,3.358521560872826e-09
0.518888096935139,1.0,1.582673245731972e-09
0.5245901639344263,1.0,7.728313055381215e-16
0.5267284390591589,1.0,6.142373287803931e-16
0.5281539558089807,1.0,6.053278433525247e-16
0.5367070563079116,1.0,5.535266628966909e-16
0.5381325730577334,1.0,4.003522759072678e-16
0.5509622238061297,1.0,3.503271114535975e-16
0.5523877405559515,1.0,2.465478921994584e-16
0.5531004989308624,1.0,1.8922514954298932e-16
0.5588025659301497,1.0,1.8848399983638088e-16
0.5602280826799715,1.0,1.8781929877587944e-16
0.5830363506771205,1.0,1.8443456892227708e-16
0.6022808267997148,1.0,1.7636632392337964e-16
0.6065573770491803,1.0,1.7257723177273478e-16
0.6086956521739131,1.0,1.7257723177273233e-16
0.609408410548824,1.0,1.6435073902423538e-16
0.617248752672844,1.0,1.6138894086790882e-16
0.6179615110477548,1.0,1.609678136026339e-16
0.624376336421953,1.0,1.5101321198334615e-16
0.6258018531717747,1.0,1.177862212628559e-16
0.6571632216678546,1.0,1.075008830039823e-16
0.6578759800427655,1.0,1.0750088300397924e-16
0.6764076977904491,1.0,1.0058962867080387e-16
0.67712045616536,1.0,9.698066872177515e-17
0.6806842480399145,1.0,9.691631264738992e-17
0.6835352815395581,1.0,6.507608172829712e-17
0.6942266571632216,1.0,6.443395674718663e-17
0.714183891660727,1.0,6.30496437201043e-17
0.729151817533856,1.0,5.517141001031413e-17
0.7312900926585887,1.0,4.633970110425653e-17
0.7320028510334996,1.0,4.442440319671464e-17
0.7341411261582323,1.0,4.026565805507913e-17
0.7804704205274412,1.0,3.6749576896584327e-17
0.7833214540270849,1.0,1.8766324587309414e-17
0.7854597291518175,1.0,1.7559833640466954e-17
0.7868852459016393,1.0,1.710724318202038e-17
0.7890235210263721,1.0,1.6929821012351603e-17
0.8168210976478973,1.0,1.6929821012351486e-17
0.8617248752672844,1.0,1.5841399265832522e-17
1.0,1.0,4.248354255291589e-18
