fpr,tpr,threshold
0.0,0.0,inf
0.0,0.00186219739292365,0.9999999999999343
0.0,0.00558659217877095,0.9999999881689244
0.0,0.01303538175046555,0.9999996424325985
0.0,0.01675977653631285,0.9999986037125986
0.0,0.040968342644320296,0.9999923636511123
0.0,0.0446927374301676,0.9999909878598999
0.0,0.0633147113594041,0.9999780214846188
0.0,0.0670391061452514,0.9999776059699356
0.0,0.07076350093109869,0.999972332539191
0.0,0.074487895716946,0.9999717800929018
0.0,0.07635009310986965,0.9999676758005297
0.0,0.08007448789571694,0.99996715838832
0.0,0.08379888268156424,0.9999664006082715
0.0,0.08752327746741155,0.9999659331256036
0.0,0.1005586592178771,0.9999562242975736
0.0,0.1042830540037244,0.9999557558199283
0.0,0.10800744878957169,0.9999552576943824
0.0,0.1154562383612663,0.9999550967030129
0.0,0.1191806331471136,0.9999545432920448
0.0,0.12290502793296089,0.9999545012324738
0.0,0.1378026070763501,0.9999536086754981
0.0,0.14152700186219738,0.9999534577887457
0.0,0.14338919925512103,0.9999533431049151
0.0,0.962756052141527,0.9999531962669493
0.0,0.9664804469273743,0.9999167684150115
0.0,0.9702048417132216,0.9998915039436278
0.0,0.9776536312849162,0.9996656418871576
0.0,0.9813780260707635,0.9973457368976731
0.0,0.9869646182495344,0.971814256597385
0.000651890482398957,0.9869646182495344,0.901843104947692
0.000651890482398957,0.9906890130353817,0.8940189974432166
0.000651890482398957,0.9925512104283054,0.757300194499706
0.001303780964797914,0.9925512104283054,0.0589768954079449
0.016297262059973925,0.9981378026070763,0.05640866264474426
0.017601043024771838,0.9981378026070763,0.0562384160169099
0.02607561929595828,0.9981378026070763,0.004248867590006261
0.027379400260756193,0.9981378026070763,0.004237819723565966
0.029335071707953065,0.9981378026070763,0.0017451935650056297
0.030638852672750978,0.9981378026070763,0.0014478110410389656
0.03389830508474576,0.9981378026070763,0.0009878757110025642
0.035202086049543675,0.9981378026070763,0.0009627304810810156
0.03650586701434159,0.9981378026070763,0.000764986700395936
0.03780964797913951,0.9981378026070763,0.0006551385866362156
0.03911342894393742,0.9981378026070763,0.0005556029765617454
0.046284224250325946,0.9981378026070763,0.00048282963355746316
0.0469361147327249,0.9981378026070763,0.0004805477294264561
0.052803129074315516,0.9981378026070763,0.00047855360463166944
0.05541069100391134,0.9981378026070763,0.00035398810171588123
0.056714471968709254,0.9981378026070763,0.0003530918982593919
0.06584093872229466,0.9981378026070763,0.00010116080565951797
0.0697522816166884,0.9981378026070763,9.820380220607556e-05
0.0710560625814863,0.9981378026070763,8.931767057615519e-05
0.07235984354628422,0.9981378026070763,8.675722757188951e-05
0.07953063885267275,0.9981378026070763,3.878413429379392e-05
0.08148631029986962,0.9981378026070763,3.829102293040368e-05
0.08213820078226858,0.9981378026070763,3.745211358141607e-05
0.08344198174706649,0.9981378026070763,3.650026943341504e-05
0.09061277705345502,0.9981378026070763,2.256318186226654e-05
0.09191655801825294,0.9981378026070763,2.2353220968449648e-05
0.09256844850065189,0.9981378026070763,2.1945663494008613e-05
0.0938722294654498,0.9981378026070763,2.1694754003061304e-05
0.09517601043024772,0.9981378026070763,1.98065136759737e-05
0.09647979139504563,0.9981378026070763,1.9749867116658445e-05
0.09908735332464146,0.9981378026070763,1.788192746254818e-05
0.10039113428943937,0.9981378026070763,1.4694456172081388e-05
0.10104302477183832,0.9981378026070763,1.4454573182574418e-05
0.10234680573663625,0.9981378026070763,1.3462166574266078e-05
0.10299869621903521,0.9981378026070763,1.3277083969267391e-05
0.10495436766623208,0.9981378026070763,1.1958414222578179e-05
0.1075619295958279,0.9981378026070763,1.1044469962436705e-05
0.10886571056062581,0.9981378026070763,1.0803287273597845e-05
0.10951760104302477,0.9981378026070763,1.058420157032715e-05
0.11082138200782268,0.9981378026070763,9.650244459816897e-06
0.11147327249022164,0.9981378026070763,8.00168500341912e-06
0.11473272490221642,0.9981378026070763,7.968692539467935e-06
0.1166883963494133,0.9981378026070763,7.20350761947623e-06
0.11799217731421122,0.9981378026070763,6.862023510257908e-06
0.11864406779661017,0.9981378026070763,6.244294822550621e-06
0.12190352020860495,1.0,5.733807568684445e-06
0.1258148631029987,1.0,4.309134441448307e-06
0.12972620599739243,1.0,4.107019261987592e-06
0.13559322033898305,1.0,2.9765595917585337e-06
0.14146023468057367,1.0,2.929842584490624e-06
0.1453715775749674,1.0,2.4528207934927923e-06
0.14667535853976532,1.0,2.3030947910006656e-06
0.14732724902216426,1.0,2.068696125928075e-06
0.15123859191655803,1.0,2.054266332512758e-06
0.15319426336375488,1.0,1.7224197963877146e-06
0.15710560625814862,1.0,1.4797279516909619e-06
0.16101694915254236,1.0,1.0034350378138421e-06
0.1636245110821382,1.0,8.384684904862137e-07
0.16427640156453716,1.0,8.064926876774602e-07
0.16688396349413298,1.0,8.023964091236161e-07
0.17014341590612778,1.0,6.068763621322636e-07
0.17209908735332463,1.0,4.6633337790093827e-07
0.17535853976531943,1.0,3.9139509203170863e-07
0.17666232073011734,1.0,3.8599632584701786e-07
0.18122555410691005,1.0,3.0163262261402987e-07
0.1864406779661017,1.0,2.54645070921673e-07
0.1897001303780965,1.0,2.4792142258004783e-07
0.1910039113428944,1.0,1.986802190686403e-07
0.19426336375488917,1.0,1.9374422539200284e-07
0.19491525423728814,1.0,1.881273498531236e-07
0.1981747066492829,1.0,1.7914546123018982e-07
0.2001303780964798,1.0,1.6860648366636773e-07
0.2014341590612777,1.0,1.4830717725537528e-07
0.20208604954367665,1.0,1.4439350245624764e-07
0.2046936114732725,1.0,1.248894011301529e-07
0.20860495436766624,1.0,9.659597650631224e-08
0.2151238591916558,1.0,9.29391176993895e-08
0.2196870925684485,1.0,6.288388136775604e-08
0.22099087353324642,1.0,5.499261556183564e-08
0.22359843546284225,1.0,4.164115883481374e-08
0.2255541069100391,1.0,3.5626914731207244e-08
0.22685788787483702,1.0,3.336393946353005e-08
0.22816166883963493,1.0,3.2788202440348216e-08
0.2301173402868318,1.0,3.209666065806518e-08
0.23272490221642764,1.0,2.415249424248626e-08
0.23402868318122555,1.0,2.224239994320699e-08
0.23598435462842243,1.0,1.9694990229127225e-08
0.23728813559322035,1.0,1.95710995029551e-08
0.23989569752281617,1.0,1.773178062020722e-08
0.24119947848761408,1.0,1.708027460206787e-08
0.242503259452412,1.0,1.3781183178666997e-08
0.24445893089960888,1.0,1.377207641749818e-08
0.24902216427640156,1.0,1.0714294479479084e-08
0.2516297262059974,1.0,1.0444525831124075e-08
0.2561929595827901,1.0,5.899166285271814e-09
0.25749674054758803,1.0,5.6452535827297816e-09
0.25945241199478486,1.0,5.0305165306540035e-09
0.2627118644067797,1.0,4.985651856651886e-09
0.26401564537157757,1.0,4.670368807717901e-09
0.26727509778357234,1.0,4.6345314984682685e-09
0.2685788787483703,1.0,4.485264215107792e-09
0.26988265971316816,1.0,4.438065088661089e-09
0.27249022164276404,1.0,4.2816767367836434e-09
0.27444589308996087,1.0,3.9002584778495945e-09
0.2966101694915254,1.0,3.873972055405996e-09
0.29791395045632335,1.0,3.5128542819224144e-09
0.29986962190352023,1.0,3.419112531678876e-09
0.3050847457627119,1.0,2.4499763271672106e-09
0.30638852672750977,1.0,2.419558131929005e-09
0.31421121251629724,1.0,1.3541464638407529e-09
0.3155149934810952,1.0,1.3396802446370998e-09
0.31681877444589307,1.0,1.2984803967341737e-09
0.318122555410691,1.0,1.15801838194419e-09
0.31877444589308995,1.0,1.0823278458981562e-09
0.3200782268578879,1.0,1.0499602969337284e-09
0.32333767926988266,1.0,8.014378138009208e-10
